ttmt,ID,rep,mercury,Count.Y0,Count.Y24,Count.R0,Count.R24,RF_w,RF_r,strain,host,host.label,plasmid,reference_host,reference_host_label,reference_plasmid,reference
1A,1A,1,0,2577,2650,2148,2174,0.996567723,-0.015902096,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,2,0,2608,2536,2231,2275,1.010383206,0.047525744,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,3,0,2171,2577,2734,2387,0.93569361,-0.307166432,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,4,0,2492,2491,2346,2572,1.020060382,0.092373421,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,5,0,2417,2785,2410,2371,0.966707533,-0.158035712,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,6,0,2465,2520,2603,2508,0.987196227,-0.059246097,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,7,0,2409,2566,2387,2505,0.996811444,-0.014885155,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,8,0,2220,2335,2694,2930,1.007189215,0.03347065,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,9,0,2356,2558,2139,2714,1.033243093,0.155824694,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
1A,1A,10,0,2194,2616,2372,2572,0.980136383,-0.094969747,SBW25.dTomato pQBR57,SBW25,dTomato,pQBR57,SBW25,YFP,pQBR57,SBW25.YFP pQBR57
