Treatment,Replicate,Transfer,Total_count,Fraction_Yellow,Fraction_Red,Fraction_Orange,Fraction_Blue,Experiment,Ratio
A,1,0,4092,0.161534702,0.266373412,0.009042033,0.563049853,1,NA
A,1,1,5345,0.166510758,0.223947615,0.006548176,0.602993452,1,NA
A,1,2,5063,0.166897097,0.242148924,0.006715386,0.584238594,1,NA
A,1,3,5994,0.15965966,0.271271271,0.005839173,0.563229897,1,NA
A,1,4,6763,0.158065947,0.300754103,0.006210262,0.534969688,1,NA
A,1,5,5725,0.16139738,0.339563319,0.00768559,0.491353712,1,NA
A,1,6,5588,0.167859699,0.412848962,0.014316392,0.404974946,1,NA
A,1,7,6801,0.16174092,0.480517571,0.014409646,0.343331863,1,NA
A,1,8,8574,0.16550035,0.549218568,0.019127595,0.266153487,1,NA
AM,1,1,3680,0.36875,0.529347826,0.02798913,0.073913043,1,NA
AM,1,2,5006,0.301238514,0.644626448,0.028765481,0.025369557,1,NA
AM,1,3,4542,0.23227653,0.68450022,0.023778071,0.059445178,1,NA
AM,1,4,4624,0.188581315,0.769031142,0.018598616,0.023788927,1,NA
AM,1,5,5173,0.1573555,0.811907984,0.01623816,0.014498357,1,NA
AM,1,6,6791,0.111029303,0.824179061,0.019584745,0.045206891,1,NA
AM,1,7,6311,0.088733957,0.882585961,0.015211535,0.013468547,1,NA
AM,1,8,5714,0.054777739,0.915470774,0.008575429,0.021176059,1,NA
B,1,0,2157,0.171070932,0.273528048,0.004636069,0.550764951,1,NA
B,1,1,4901,0.349316466,0.461538462,0.021832279,0.167312793,1,NA
B,1,2,5140,0.353307393,0.55233463,0.031128405,0.063229572,1,NA
B,1,3,8209,0.338043611,0.567425996,0.037641613,0.056888781,1,NA
B,1,4,5942,0.325816223,0.609895658,0.035846516,0.028441602,1,NA
B,1,5,5329,0.292550197,0.662788516,0.030212047,0.01444924,1,NA
B,1,6,6819,0.2677812,0.652148409,0.035489075,0.044581317,1,NA
B,1,7,7168,0.248186384,0.701729911,0.031389509,0.018694196,1,NA
B,1,8,7127,0.229689912,0.724007296,0.030447594,0.015855199,1,NA
BM,1,1,3738,0.356340289,0.507490637,0.029962547,0.106206528,1,NA
BM,1,2,4993,0.288203485,0.650710995,0.027438414,0.033647106,1,NA
BM,1,3,5953,0.213001848,0.708382328,0.02721317,0.051402654,1,NA
BM,1,4,6595,0.190144049,0.763002274,0.024412434,0.022441243,1,NA
BM,1,5,4826,0.141939494,0.822420224,0.014090344,0.021549938,1,NA
BM,1,6,6503,0.105028448,0.83853606,0.015377518,0.041057973,1,NA
BM,1,7,7197,0.07947756,0.892038349,0.015284146,0.013199944,1,NA
BM,1,8,8192,0.062866211,0.901245117,0.013671875,0.022216797,1,NA
C,1,0,6685,0.263275991,0.188930441,0.01091997,0.536873598,1,NA
C,1,1,5916,0.260480054,0.18035835,0.011156187,0.548005409,1,NA
C,1,2,5931,0.31765301,0.165233519,0.008430282,0.50868319,1,NA
C,1,3,7028,0.356431417,0.257541264,0.022908367,0.363118953,1,NA
C,1,4,7472,0.400428266,0.29496788,0.030246253,0.274357602,1,NA
C,1,5,6073,0.469948954,0.281409518,0.038037214,0.210604314,1,NA
C,1,6,5295,0.531444759,0.258168083,0.030594901,0.179792257,1,NA
C,1,7,5484,0.576586433,0.252917578,0.028081692,0.142414296,1,NA
C,1,8,6609,0.578453624,0.247541232,0.034195794,0.139809351,1,NA
CM,1,1,3635,0.606327373,0.303988996,0.023658872,0.066024759,1,NA
CM,1,2,5485,0.677484047,0.223883318,0.020783956,0.077848678,1,NA
CM,1,3,6852,0.719789842,0.164477525,0.024372446,0.091360187,1,NA
CM,1,4,7594,0.758361865,0.146826442,0.019752436,0.075059257,1,NA
CM,1,5,7781,0.800796813,0.118493767,0.017606991,0.063102429,1,NA
CM,1,6,6829,0.847708303,0.07790306,0.011568312,0.062820325,1,NA
CM,1,7,7375,0.877559322,0.057762712,0.011525424,0.053152542,1,NA
CM,1,8,9475,0.883799472,0.054775726,0.010343008,0.051081794,1,NA
D,1,0,5838,0.287769784,0.189962316,0.009934909,0.512332991,1,NA
D,1,1,4773,0.488162581,0.327467002,0.023465326,0.160905091,1,NA
D,1,2,6453,0.569037657,0.271656594,0.026189369,0.13311638,1,NA
D,1,3,7210,0.573647712,0.335783634,0.039389736,0.051178918,1,NA
D,1,4,7020,0.573789174,0.335470085,0.046153846,0.044586895,1,NA
D,1,5,6168,0.61997406,0.306744488,0.049124514,0.024156939,1,NA
D,1,6,6188,0.658694247,0.273109244,0.039915966,0.028280543,1,NA
D,1,7,4983,0.678506924,0.259883604,0.035721453,0.025888019,1,NA
D,1,8,7458,0.680209171,0.2461786,0.042370609,0.03124162,1,NA
DM,1,1,3415,0.576281113,0.294289898,0.02284041,0.10658858,1,NA
DM,1,2,5463,0.646165111,0.246750869,0.024345598,0.082738422,1,NA
DM,1,3,4762,0.710205796,0.168206636,0.012599748,0.10898782,1,NA
DM,1,4,6007,0.749625437,0.154819377,0.016647245,0.078907941,1,NA
DM,1,5,7692,0.789131565,0.130655226,0.018590744,0.061622465,1,NA
DM,1,6,6376,0.835947302,0.088927227,0.012076537,0.063048934,1,NA
DM,1,7,6793,0.868541145,0.069483292,0.009127043,0.052848521,1,NA
DM,1,8,10261,0.895916577,0.047656174,0.010038008,0.046389241,1,NA
F1,1,0,1313,0.961157654,0.004569688,0.000761615,0.033511043,1,NA
F1,1,1,3974,0.976849522,0.001761449,0.001258178,0.020130851,1,NA
F1,1,2,8505,0.97095826,0.000117578,0,0.028924162,1,NA
F1,1,3,6160,0.978409091,0,0.000324675,0.021266234,1,NA
F1,1,4,6702,0.988361683,0.000149209,0.000149209,0.011339899,1,NA
F1,1,5,6773,0.98833604,0,0,0.01166396,1,NA
F1,1,6,6458,0.976308455,0,0,0.023691545,1,NA
F1,1,7,7011,0.985023534,0,0.000142633,0.014833833,1,NA
F1,1,8,6775,0.985092251,0.000147601,0.000295203,0.014464945,1,NA
F2,1,0,2187,0.004115226,0.974394147,0.003200732,0.018289895,1,NA
F2,1,1,4184,0.002868069,0.961520076,0.000717017,0.034894837,1,NA
F2,1,2,4591,0.006970159,0.967109562,0.001960357,0.023959922,1,NA
F2,1,3,6071,0.00065887,0.947455114,0.00065887,0.051227145,1,NA
F2,1,4,5664,0.003177966,0.979696328,0.000353107,0.016772599,1,NA
F2,1,5,5006,0.004594487,0.978026368,0.001598082,0.015781063,1,NA
F2,1,6,6376,0.000941029,0.952164366,0.000627353,0.046267252,1,NA
F2,1,7,8052,0.000248385,0.987083954,0.000248385,0.012419275,1,NA
F2,1,8,8387,0.000715393,0.987719089,0.000238464,0.011327054,1,NA
F3,1,0,3596,0.002224694,0.936040044,0.000556174,0.061179088,1,NA
