well,replicate,cycle,value
B6,a,1,0.0876
B6,a,2,0.083899997
B6,a,3,0.084299996
B6,a,4,0.084700003
B6,a,5,0.085699998
B6,a,6,0.086400002
B6,a,7,0.087099999
B6,a,8,0.088100001
B6,a,9,0.088399999
B6,a,10,0.089100003
B6,a,11,0.089400001
B6,a,12,0.088699996
B6,a,13,0.088600002
B6,a,14,0.089299999
B6,a,15,0.089699998
B6,a,16,0.094300002
B6,a,17,0.099399999
B6,a,18,0.098300003
B6,a,19,0.101899996
B6,a,20,0.105400003
B6,a,21,0.112599999
B6,a,22,0.116800003
B6,a,23,0.120999999
B6,a,24,0.125300005
B6,a,25,0.136999995
B6,a,26,0.159299999
B6,a,27,0.159799993
B6,a,28,0.1787
B6,a,29,0.197300002
B6,a,30,0.217600003
B6,a,31,0.250499994
B6,a,32,0.302599996
B6,a,33,0.377299994
B6,a,34,0.455000013
B6,a,35,0.506699979
B6,a,36,0.555499971
B6,a,37,0.583500028
B6,a,38,0.607800007
B6,a,39,0.651300013
B6,a,40,0.6875
B6,a,41,0.719200015
B6,a,42,0.745999992
B6,a,43,0.770500004
B6,a,44,0.78609997
B6,a,45,0.801100016
B6,a,46,0.815299988
B6,a,47,0.832799971
B6,a,48,0.84859997
B6,a,49,0.864700019
B6,a,50,0.885299981
B6,a,51,0.899800003
B6,a,52,0.916599989
B6,a,53,0.931200027
B6,a,54,0.94569999
B6,a,55,0.962700009
B6,a,56,0.977100015
B6,a,57,0.99119997
B6,a,58,0.999499977
B6,a,59,1.012500048
B6,a,60,1.020599961
B6,a,61,1.034399986
B6,a,62,1.04519999
B6,a,63,1.053500056
B6,a,64,1.065299988
B6,a,65,1.073699951
B6,a,66,1.083699942
B6,a,67,1.08889997
B6,a,68,1.099699974
B6,a,69,1.10800004
B6,a,70,1.118700027
B6,a,71,1.123299956
B6,a,72,1.131500006
B6,a,73,1.135599971
B6,a,74,1.142400026
B6,a,75,1.148200035
B6,a,76,1.158699989
B6,a,77,1.158800006
B6,a,78,1.163200021
B6,a,79,1.170600057
B6,a,80,1.173200011
B6,a,81,1.17840004
B6,a,82,1.184499979
B6,a,83,1.189599991
B6,a,84,1.194200039
B6,a,85,1.199599981
B6,a,86,1.206599951
B6,a,87,1.214300036
