expt,rep,strain,trt,time,media ,dilution,spread,count_white,count_blue
expt_2,a,pQBR57,D_R_premix,t0,KB+X-gal,5,50,468,579
expt_2,a,pQBR57_delta59,D_R_premix,t0,KB+X-gal,5,50,474,570
expt_2,b,pQBR57,D_R_premix,t0,KB+X-gal,5,50,488,604
expt_2,b,pQBR57_delta59,D_R_premix,t0,KB+X-gal,5,50,376,552
expt_2,c,pQBR57,D_R_premix,t0,KB+X-gal,5,50,586,626
expt_2,c,pQBR57_delta59,D_R_premix,t0,KB+X-gal,5,50,460,534
expt_2,d,pQBR57,D_R_premix,t0,KB+X-gal,5,50,594,458
expt_2,d,pQBR57_delta59,D_R_premix,t0,KB+X-gal,5,50,662,456
expt_2,e,pQBR57,D_R_premix,t0,KB+X-gal,5,50,670,568
expt_2,e,pQBR57_delta59,D_R_premix,t0,KB+X-gal,5,50,602,546
expt_2,a,pQBR57,endpoint_DR,t1,KB+X-gal,6,50,173,3
expt_2,a,pQBR57_delta59,endpoint_DR,t1,KB+X-gal,6,50,1344,11
expt_2,b,pQBR57,endpoint_DR,t1,KB+X-gal,6,50,124,3
expt_2,b,pQBR57_delta59,endpoint_DR,t1,KB+X-gal,6,50,54,1
expt_2,c,pQBR57,endpoint_DR,t1,KB+X-gal,6,50,994,12
expt_2,c,pQBR57_delta59,endpoint_DR,t1,KB+X-gal,6,50,316,1
expt_2,d,pQBR57,endpoint_DR,t1,KB+X-gal,6,50,654,6
expt_2,d,pQBR57_delta59,endpoint_DR,t1,KB+X-gal,6,50,1192,18
expt_2,e,pQBR57,endpoint_DR,t1,KB+X-gal,6,50,1298,12
expt_2,e,pQBR57_delta59,endpoint_DR,t1,KB+X-gal,6,50,990,15
expt_2,a,pQBR57,endpoint_T,t1,KB+Km50+Hg20+X-gal,3,50,26,0
expt_2,a,pQBR57_delta59,endpoint_T,t1,KB+Km50+Hg20+X-gal,4,50,232,0
expt_2,b,pQBR57,endpoint_T,t1,KB+Km50+Hg20+X-gal,3,50,42,0
expt_2,b,pQBR57_delta59,endpoint_T,t1,KB+Km50+Hg20+X-gal,3,50,18,0
expt_2,c,pQBR57,endpoint_T,t1,KB+Km50+Hg20+X-gal,5,50,11,0
expt_2,c,pQBR57_delta59,endpoint_T,t1,KB+Km50+Hg20+X-gal,3,50,133,0
expt_2,d,pQBR57,endpoint_T,t1,KB+Km50+Hg20+X-gal,5,50,103,0
expt_2,d,pQBR57_delta59,endpoint_T,t1,KB+Km50+Hg20+X-gal,5,50,143,0
expt_2,e,pQBR57,endpoint_T,t1,KB+Km50+Hg20+X-gal,5,50,201,0
expt_2,e,pQBR57_delta59,endpoint_T,t1,KB+Km50+Hg20+X-gal,5,50,66,0
expt_1,a,pQBR57,T1_trt,t1.5,KB+X-gal,2,50,0,1470
expt_1,a,pQBR57_delta59,T1_trt,t1.5,KB+X-gal,2,50,0,1552
expt_1,b,pQBR57,T1_trt,t1.5,KB+X-gal,2,50,0,1652
expt_1,b,pQBR57_delta59,T1_trt,t1.5,KB+X-gal,2,50,0,1712
expt_1,c,pQBR57,T1_trt,t1.5,KB+X-gal,2,50,0,1592
expt_1,c,pQBR57_delta59,T1_trt,t1.5,KB+X-gal,2,50,0,1976
expt_1,d,pQBR57,T1_trt,t1.5,KB+X-gal,2,50,0,708
expt_1,d,pQBR57_delta59,T1_trt,t1.5,KB+X-gal,2,50,0,1136
expt_1,e,pQBR57,T1_trt,t1.5,KB+X-gal,2,50,0,856
expt_1,e,pQBR57_delta59,T1_trt,t1.5,KB+X-gal,2,50,0,800
expt_1,a,pQBR57,T1old_trt,t1.5,KB+X-gal,4,5,0,11
expt_1,a,pQBR57_delta59,T1old_trt,t1.5,KB+X-gal,4,5,0,13
expt_1,b,pQBR57,T1old_trt,t1.5,KB+X-gal,4,5,0,14
expt_1,b,pQBR57_delta59,T1old_trt,t1.5,KB+X-gal,4,5,0,23
expt_1,c,pQBR57,T1old_trt,t1.5,KB+X-gal,4,5,0,20
expt_1,c,pQBR57_delta59,T1old_trt,t1.5,KB+X-gal,4,5,0,15
expt_1,d,pQBR57,T1old_trt,t1.5,KB+X-gal,4,5,0,11
expt_1,d,pQBR57_delta59,T1old_trt,t1.5,KB+X-gal,4,5,0,10
expt_1,e,pQBR57,T1old_trt,t1.5,KB+X-gal,4,5,0,12
expt_1,e,pQBR57_delta59,T1old_trt,t1.5,KB+X-gal,4,5,0,4
