ttmt,rep,Count.Y0,Count.Y24,Count.R0,Count.R24,RF_w,RF_r,strain,reference,strain_label,reference_label
14E,7,2294,2036,2350,2519,0.959620949677782,-0.188756589233308,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14E,3,1470,2018,1770,2505,0.993848602990529,-0.0304646668103183,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14E,8,1922,2080,2631,2391,1.03873005977331,0.174653896747095,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14E,4,1409,2025,1765,2474,1.00505859066551,0.0250038840569227,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14E,1,2210,1965,2442,2483,0.970974552914231,-0.134150401045954,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14E,6,2288,2087,2411,2398,0.981185141338064,-0.086543902828776,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14E,2,1570,1930,1628,2573,0.950369085691367,-0.251275882162681,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14E,5,2099,1962,2451,2501,0.981041229805556,-0.0876912270448313,SBW25.GmR pQBR57d0059.tdTomato,SBW25.YFP,red,yellow
14H,1,2765,2367,1946,2141,0.946621549882404,-0.250914330286183,SBW25.GmR pQBR57d0059.tdTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
14H,5,2654,2471,2026,2074,0.979505465569955,-0.0948607128843868,SBW25.GmR pQBR57d0059.tdTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
14H,4,1539,2403,1702,2188,1.04003028730442,0.194401247489037,SBW25.GmR pQBR57d0059.tdTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
14H,3,1603,2187,1611,2429,0.980068825958146,-0.0999706777579839,SBW25.GmR pQBR57d0059.tdTomato,SBW25.GmR pQBR57d0059.GFP,red,yellow
