"Treatment" "Replicate" "Transfer" "Total_count" "Fraction_Yellow" "Fraction_Red" "Fraction_Orange" "Fraction_Blue" "Experiment" "Ratio"
"F3" "1" 2 5344 0.0194610778443114 0.92309131736527 0.00711077844311377 0.0503368263473054 1 NA
"AM" "4" 3 4540 0.227312775330396 0.684140969162996 0.0290748898678414 0.0594713656387665 1 NA
"A" "5" 3 4764 0.21536523929471 0.263643996641478 0.0136439966414777 0.507346767422334 1 NA
"AM" "5" 3 3618 0.250138197899392 0.667219458264234 0.0320619126589276 0.0505804311774461 1 NA
"A" "1" 3 5994 0.15965965965966 0.271271271271271 0.00583917250583917 0.56322989656323 1 NA
"AM" "1" 3 4542 0.232276530162924 0.684500220167327 0.023778071334214 0.059445178335535 1 NA
"A" "2" 3 5896 0.180291723202171 0.308005427408412 0.0108548168249661 0.50084803256445 1 NA
"AM" "2" 3 4731 0.244557176072712 0.678080744028747 0.0287465652082012 0.0486155146903403 1 NA
"A" "3" 3 7603 0.178613705116401 0.236091016703933 0.00920689201630935 0.576088386163357 1 NA
"AM" "3" 3 4346 0.246203405430281 0.649102623101703 0.0262310170271514 0.0784629544408652 1 NA
"A" "4" 3 5876 0.206773315180395 0.262423417290674 0.0107215793056501 0.520081688223281 1 NA
"F1" "1" 3 6160 0.978409090909091 0 0.000324675324675325 0.0212662337662338 1 NA
"BM" "4" 3 5392 0.259272997032641 0.651706231454006 0.0374629080118694 0.0515578635014837 1 NA
"B" "5" 3 5117 0.40297049052179 0.496384600351769 0.0465116279069767 0.0541332812194645 1 NA
"BM" "5" 3 4241 0.285310068380099 0.611648196180146 0.0448007545390238 0.058240980900731 1 NA
"F2" "1" 3 6071 0.000658870037885027 0.947455114478669 0.000658870037885027 0.0512271454455609 1 NA
"B" "1" 3 8209 0.338043610671215 0.567425995858204 0.0376416128639298 0.0568887806066512 1 NA
"BM" "1" 3 5953 0.213001847807828 0.708382328237863 0.0272131698303376 0.0514026541239711 1 NA
"B" "2" 3 7055 0.393763288447909 0.51367824238129 0.0412473423104181 0.0513111268603827 1 NA
"BM" "2" 3 6441 0.23660922217047 0.673963670237541 0.0349324639031206 0.0544946436888682 1 NA
"B" "3" 3 8336 0.386396353166987 0.505278310940499 0.0509836852207294 0.057341650671785 1 NA
"BM" "3" 3 4456 0.271992818671454 0.642504488330341 0.0289497307001795 0.0565529622980251 1 NA
"B" "4" 3 4119 0.391599902889051 0.497693614955086 0.036902160718621 0.0738043214372421 1 NA
"F3" "1" 3 5768 0.0026005547850208 0.95249653259362 0.000866851595006935 0.0440360610263523 1 NA
"CM" "4" 3 5486 0.689026613197229 0.215457528253737 0.0428363106088225 0.0526795479402115 1 NA
