"","well","replicate","cycle","value"
"1","B6","a",1,0.0876
"2","B6","a",2,0.083899997
"3","B6","a",3,0.084299996
"4","B6","a",4,0.084700003
"5","B6","a",5,0.085699998
"6","B6","a",6,0.086400002
"7","B6","a",7,0.087099999
"8","B6","a",8,0.088100001
"9","B6","a",9,0.088399999
"10","B6","a",10,0.089100003
"11","B6","a",11,0.089400001
"12","B6","a",12,0.088699996
"13","B6","a",13,0.088600002
"14","B6","a",14,0.089299999
"15","B6","a",15,0.089699998
"16","B6","a",16,0.094300002
"17","B6","a",17,0.099399999
"18","B6","a",18,0.098300003
"19","B6","a",19,0.101899996
"20","B6","a",20,0.105400003
"21","B6","a",21,0.112599999
"22","B6","a",22,0.116800003
"23","B6","a",23,0.120999999
"24","B6","a",24,0.125300005
"25","B6","a",25,0.136999995
"26","B6","a",26,0.159299999
"27","B6","a",27,0.159799993
"28","B6","a",28,0.1787
"29","B6","a",29,0.197300002
"30","B6","a",30,0.217600003
"31","B6","a",31,0.250499994
"32","B6","a",32,0.302599996
"33","B6","a",33,0.377299994
"34","B6","a",34,0.455000013
"35","B6","a",35,0.506699979
"36","B6","a",36,0.555499971
"37","B6","a",37,0.583500028
"38","B6","a",38,0.607800007
"39","B6","a",39,0.651300013
"40","B6","a",40,0.6875
"41","B6","a",41,0.719200015
"42","B6","a",42,0.745999992
"43","B6","a",43,0.770500004
"44","B6","a",44,0.78609997
"45","B6","a",45,0.801100016
"46","B6","a",46,0.815299988
"47","B6","a",47,0.832799971
"48","B6","a",48,0.84859997
"49","B6","a",49,0.864700019
"50","B6","a",50,0.885299981
"51","B6","a",51,0.899800003
"52","B6","a",52,0.916599989
"53","B6","a",53,0.931200027
"54","B6","a",54,0.94569999
"55","B6","a",55,0.962700009
"56","B6","a",56,0.977100015
"57","B6","a",57,0.99119997
"58","B6","a",58,0.999499977
"59","B6","a",59,1.012500048
"60","B6","a",60,1.020599961
"61","B6","a",61,1.034399986
"62","B6","a",62,1.04519999
"63","B6","a",63,1.053500056
"64","B6","a",64,1.065299988
"65","B6","a",65,1.073699951
"66","B6","a",66,1.083699942
"67","B6","a",67,1.08889997
"68","B6","a",68,1.099699974
"69","B6","a",69,1.10800004
"70","B6","a",70,1.118700027
"71","B6","a",71,1.123299956
"72","B6","a",72,1.131500006
"73","B6","a",73,1.135599971
"74","B6","a",74,1.142400026
"75","B6","a",75,1.148200035
"76","B6","a",76,1.158699989
"77","B6","a",77,1.158800006
"78","B6","a",78,1.163200021
"79","B6","a",79,1.170600057
"80","B6","a",80,1.173200011
"81","B6","a",81,1.17840004
"82","B6","a",82,1.184499979
"83","B6","a",83,1.189599991
"84","B6","a",84,1.194200039
"85","B6","a",85,1.199599981
"86","B6","a",86,1.206599951
"87","B6","a",87,1.214300036
"88","B6","a",88,1.214699984
"89","B6","a",89,1.219900012
"90","B6","a",90,1.228199959
"91","B6","a",91,1.230000019
"92","B6","a",92,1.23179996
"93","B6","a",93,1.241799951
"94","B6","a",94,1.240200043
"95","B6","a",95,1.251700044
"96","B6","a",96,1.244300008
"97","B12","c",1,0.091399997
"98","B12","c",2,0.089199997
"99","B12","c",3,0.089500003
"100","B12","c",4,0.090000004
"101","B12","c",5,0.091300003
"102","B12","c",6,0.092
"103","B12","c",7,0.092500001
"104","B12","c",8,0.093900003
"105","B12","c",9,0.093599997
"106","B12","c",10,0.093599997
"107","B12","c",11,0.093999997
"108","B12","c",12,0.093000002
"109","B12","c",13,0.0973
"110","B12","c",14,0.113700002
"111","B12","c",15,0.094599999
"112","B12","c",16,0.097099997
"113","B12","c",17,0.1131
"114","B12","c",18,0.101300001
"115","B12","c",19,0.112999998
"116","B12","c",20,0.141000003
"117","B12","c",21,0.109200001
"118","B12","c",22,0.147400007
"119","B12","c",23,0.123300001
"120","B12","c",24,0.123599999
"121","B12","c",25,0.1259
"122","B12","c",26,0.136199996
"123","B12","c",27,0.155100003
"124","B12","c",28,0.177699998
"125","B12","c",29,0.196799994
"126","B12","c",30,0.202500001
"127","B12","c",31,0.230399996
"128","B12","c",32,0.287400007
"129","B12","c",33,0.357300013
"130","B12","c",34,0.422100008
"131","B12","c",35,0.485500008
"132","B12","c",36,0.511500001
"133","B12","c",37,0.543799996
"134","B12","c",38,0.594900012
"135","B12","c",39,0.642499983
"136","B12","c",40,0.662599981
