"ttmt" "ID" "rep" "mercury" "Count.Y0" "Count.Y24" "Count.R0" "Count.R24" "RF_w" "RF_r" "RF_slope" "strain" "host" "host.label" "plasmid" "reference_host" "reference_host_label" "reference_plasmid" "reference"
"1A" "1A" 1 0 2577 2650 2148 2174 0.996567722926522 -0.0159020962755028 1.36330201274656 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 2 0 2608 2536 2231 2275 1.0103832055402 0.0475257444419457 -0.379090060662623 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 3 0 2171 2577 2734 2387 0.935693609955667 -0.307166431719137 -1.25834825940197 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 7 0 2409 2566 2387 2505 0.996811444438827 -0.0148851553805756 2.15629456922104 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 8 0 2220 2335 2694 2930 1.00718921545383 0.0334706498041317 0.316564620221744 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 10 0 2194 2616 2372 2572 0.980136382836849 -0.0949697465020201 -3.46124430502652 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 10 40 2194 2955 2372 2148 0.919034621450573 -0.396968593493884 -1.07471094560454 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 6 40 2465 2865 2603 2268 0.939409115447772 -0.288142782818972 -1.27775506995755 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 9 40 2356 2708 2139 2401 0.995005032075191 -0.0236982021218406 7.42959183673484 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 7 40 2409 2768 2387 2331 0.96571449439666 -0.162653301425761 -1.81657416847029 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 8 40 2220 2562 2694 2477 0.952140197759927 -0.227259935071304 -2.07258104307495 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 5 0 2417 2785 2410 2371 0.966707532680387 -0.158035712077196 -1.24012735203426 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 4 40 2492 2811 2346 2224 0.96320929625862 -0.173859064842135 -1.08535261508797 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 5 40 2417 2884 2410 2209 0.944845713794773 -0.26373794076594 -1.02462161295154 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 4 0 2492 2491 2346 2572 1.02006038182875 0.0923734207892526 -0.380277274056742 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 6 0 2465 2520 2603 2508 0.987196226671519 -0.0592460972704325 -53.7024793388455 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A" 9 0 2356 2558 2139 2714 1.0332430933844 0.155824693945098 -0.69882457307607 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 2 40 2608 2789 2231 2116 0.974311870886846 -0.120021866035288 -1.62793055379546 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 3 40 2171 2747 2734 2178 0.904414621804393 -0.462680230007972 -1.1107314246006 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"1A" "1A.H" 1 40 2577 2806 2148 2054 0.972308381585688 -0.129882115150293 -2.00493236061953 "SBW25.dTomato pQBR57" "SBW25" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 2 0 2372 1477 2621 3878 1.20948678336937 0.865484110065426 -0.961306722398601 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 9 40 2106 839 2729 5093 1.41908707138463 1.54426679240298 -1.04832321474342 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 7 0 2371 1583 2624 4033 1.19846820161903 0.833800670993782 -0.953815970321212 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 8 0 2254 1368 2792 4219 1.22217193371281 0.912196544659301 -0.923543175179855 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 1 0 2339 1576 2684 3622 1.16496344299428 0.694551636518141 -0.908206873775868 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 5 40 2287 787 2652 4902 1.47510063700555 1.68109715838768 -1.04480588267931 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 10 0 2387 1545 2378 4126 1.23645683189928 0.986062053387455 -0.945708208593918 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 3 0 2203 1594 2867 3690 1.13451378052499 0.575933758603385 -0.915477269146435 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 3 40 2203 961 2867 4331 1.32899230063651 1.24213321316331 -1.00403495764194 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 10 40 2387 1002 2378 4613 1.40958104385531 1.53065795100111 -1.01344410465352 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 4 40 2424 863 2694 4780 1.44960485677268 1.60617312462097 -1.01293945384427 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A.H" 8 40 2254 767 2792 5078 1.47520311536403 1.67613419161483 -1.00225210915199 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"2A" "2A" 5 0 2287 1516 2652 3914 1.19084657953267 0.800411424470733 -0.94638033066695 "SBW25.dTomato pQBR57d0059" "SBW25" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
